Word;Non-FS (neutral); 
abandoned;1;
abate;1;
abated;1;
abnormal;1;
abolition;1;
abruptly;1;
absence;1;
absorption;1;
accelerate;1;
accelerated;1;
accentuated;1;
accession;1;
accident;1;
accommodating;1;
accommodation;1;
accommodative;1;
accord;1;
accumulations;1;
achieve;1;
achieved;1;
achieving;1;
acts;1;
adapt;1;
addition;1;
adjustment;1;
advances;1;
advantage;1;
advantageous;1;
advantages;1;
affected;1;
aftermath;1;
ageing;1;
aggressive;1;
aggressively;1;
aging;1;
albeit;1;
alleviate;1;
alleviation;1;
allow;1;
allows;1;
amend;1;
amid;1;
amidst;1;
amortisation;1;
ample;1;
amplified;1;
amplify;1;
appetite;1;
appreciably;1;
appreciate;1;
appreciated;1;
appreciation;1;
approving;1;
arbitrage;1;
arising;1;
assigned;1;
assurance;1;
asymmetric;1;
asymmetry;1;
attack;1;
attacks;1;
attain;1;
attained;1;
attempts;1;
attract;1;
attracting;1;
attractive;1;
attractiveness;1;
augmented;1;
available;1;
averse;1;
aversion;1;
avert;1;
avoid;1;
avoided;1;
awareness;1;
backed;1;
bailout;1;
balanced;1;
balancing;1;
bankrupt;1;
bankruptcies;1;
bankruptcy;1;
barely;1;
barrel;1;
barrier;1;
barriers;1;
bear;1;
bearing;1;
bearish;1;
bears;1;
benefited;1;
benefits;1;
best;1;
block;1;
bolster;1;
bolstered;1;
bolstering;1;
boom;1;
booming;1;
boost;1;
boosted;1;
boosting;1;
boosts;1;
bottomed;1;
breaches;1;
break;1;
breakdown;1;
brisk;1;
broadened;1;
broader;1;
broke;1;
broken;1;
bubble;1;
bubbles;1;
buffer;1;
buffers;1;
bullet;1;
bullish;1;
buoyant;1;
burden;1;
burdens;1;
bursting;1;
cancelled;1;
careful;1;
carefully;1;
catalyst;1;
catastrophe;1;
catastrophes;1;
catastrophic;1;
caution;1;
cautious;1;
cautiously;1;
cease;1;
ceased;1;
challenged;1;
channeled;1;
channels;1;
claims;1;
climb;1;
climbed;1;
climbing;1;
close;1;
closed;1;
closing;1;
collapse;1;
collapsed;1;
collateralised;1;
collateralized;1;
comfort;1;
commencing;1;
committed;1;
competition;1;
complacency;1;
complaints;1;
complementary;1;
composed;1;
compression;1;
concentrations;1;
concerned;1;
concerning;1;
concomitant;1;
conducive;1;
conduits;1;
conflict;1;
conflicts;1;
connection;1;
connections;1;
connectivity;1;
consequence;1;
consequences;1;
consequent;1;
consequently;1;
conservative;1;
consistent;1;
consolidated;1;
constraint;1;
constraints;1;
contain;1;
containing;1;
containment;1;
contingency;1;
contract;1;
contractionary;1;
contrasts;1;
contribute;1;
contributed;1;
contributor;1;
contributory;1;
controlling;1;
cool;1;
cooling;1;
cooperation;1;
cooperative;1;
corrected;1;
correcting;1;
correction;1;
correctly;1;
corroborated;1;
costs;1;
counteract;1;
covered;1;
crash;1;
creation;1;
credibility;1;
crises;1;
crisis;1;
critical;1;
cross;1;
crucial;1;
crude;1;
crunch;1;
curb;1;
curbed;1;
curbing;1;
curtail;1;
curtailed;1;
curtailing;1;
cushion;1;
cut;1;
cutback;1;
damage;1;
damaged;1;
damages;1;
dampen;1;
dampened;1;
dampening;1;
dealing;1;
decelerate;1;
decelerated;1;
decisive;1;
decline;1;
declined;1;
declining;1;
decrease;1;
decreased;1;
decreases;1;
decreasing;1;
deepen;1;
deepened;1;
deepening;1;
deeper;1;
default;1;
defaulted;1;
defaulters;1;
defaulting;1;
defensive;1;
deferred;1;
deficiencies;1;
deficit;1;
delay;1;
delayed;1;
delaying;1;
deleverage;1;
deleveraging;1;
delicate;1;
delinquency;1;
delinquent;1;
demanded;1;
depended;1;
dependency;1;
depreciated;1;
depreciating;1;
depreciation;1;
deprived;1;
desirable;1;
desired;1;
despite;1;
determination;1;
detriment;1;
devaluation;1;
developed;1;
developing;1;
development;1;
deviation;1;
deviations;1;
diminish;1;
diminished;1;
diminishing;1;
dipped;1;
disability;1;
disadvantage;1;
disaster;1;
disasters;1;
disclose;1;
disclosed;1;
discount;1;
discourage;1;
discouraged;1;
discrepancy;1;
discrimination;1;
dislocation;1;
dislocations;1;
disparities;1;
disparity;1;
dispersion;1;
disproportionate;1;
disputes;1;
distort;1;
distorted;1;
diverged;1;
divergence;1;
divergences;1;
divergent;1;
diversified;1;
diversify;1;
dominance;1;
doubled;1;
doubt;1;
doubtful;1;
downtrend;1;
downturns;1;
downwards;1;
dramatically;1;
drastically;1;
drift;1;
drifted;1;
driven;1;
drop;1;
dropping;1;
drops;1;
durability;1;
dwelling;1;
dynamic;1;
earmarked;1;
earned;1;
ease;1;
eased;1;
easier;1;
easily;1;
easing;1;
easy;1;
edge;1;
edged;1;
edging;1;
efficiency;1;
efficiently;1;
elevated;1;
emanating;1;
embarked;1;
embedded;1;
emergence;1;
emergency;1;
emerges;1;
enable;1;
enables;1;
encounter;1;
encountered;1;
encountering;1;
encouraged;1;
encourages;1;
encouraging;1;
encumbrance;1;
endorsed;1;
endured;1;
enhancement;1;
enhancements;1;
enhances;1;
enjoyed;1;
enjoying;1;
enlarged;1;
ensuing;1;
ensure;1;
ensures;1;
ensuring;1;
entailed;1;
entails;1;
equilibrium;1;
erupted;1;
evolved;1;
examination;1;
exceed;1;
exceeded;1;
exceeding;1;
exceeds;1;
exceptional;1;
exceptionally;1;
excess;1;
excesses;1;
excessively;1;
excluded;1;
execute;1;
executed;1;
execution;1;
exerted;1;
exerting;1;
expand;1;
expanded;1;
expanding;1;
expansion;1;
expansionary;1;
expansions;1;
expenses;1;
exploit;1;
exposure;1;
